Protein,ClusteringCoeff
UBXN2B,1.0
GDF15,1.0
UNC13D,1.0
USP27X,1.0
UBXN8,1.0
MAOA,1.0
ADORA3,1.0
GALT,1.0
skp2,1.0
Rangap1,1.0
RASAL3,1.0
ZNF839,1.0
GABRD,1.0
WDR70,1.0
Zswim2,1.0
Ube2n,1.0
Ubr5,1.0
GDF6,1.0
Zfp57,1.0
ZNF395,1.0
MAGEA12,1.0
msl-3,1.0
park,1.0
fliI,1.0
LINC00265,1.0
HERC4,1.0
RHOBTB3,1.0
BCL2L13,1.0
FAM96B,1.0
Pebp1,1.0
TRIM40,1.0
L3MBTL3,1.0
CNTROB,1.0
GPRC5C,1.0
TUBA3D,1.0
RAB34,1.0
DAAM1,1.0
FAM96A,1.0
TMCO1,1.0
TMEM102,1.0
TMEM104,1.0
TM9SF2,1.0
TM9SF3,1.0
PCBP4,1.0
ZNF45,1.0
C3orf26,1.0
FRG1,1.0
SGCE,1.0
DDRGK1,1.0
TOMM34,1.0
CDS1,1.0
RAB7L1,1.0
LTB,1.0
CLAM,1.0
TBC1D1,1.0
SPR,1.0
GPR108,1.0
GRHPR,1.0
SLC12A2,1.0
CDK5RAP1,1.0
DTYMK,1.0
GTF2H3,1.0
Suds3,1.0
POTEF,1.0
CENPV,1.0
MAP3K6,1.0
HEXIM2,1.0
EEF1A1P5,1.0
HES4,1.0
VMP1,1.0
PHF2,1.0
HIV2gp3,1.0
HIVEP3,1.0
RPL7L1,1.0
HGD,1.0
ABCB8,1.0
FAM86C1,1.0
C6orf211,1.0
ARL4A,1.0
CPNE8,1.0
RILPL2,1.0
UBR7,1.0
HIST2H2BC,1.0
SATB2,1.0
SCARB2,1.0
PHF6,1.0
TACO1,1.0
Dlgap1,1.0
DTX4,1.0
POTEKP,1.0
TPBG,1.0
NUDCD1,1.0
GINS4,1.0
PLEKHA7,1.0
PDXK,1.0
PDE12,1.0
MS4A3,1.0
NAA25,1.0
TSEN2,1.0
RAP1GAP2,1.0
PREPL,1.0
PPP1R9A,1.0
GULP1,1.0
SBDS,1.0
COX15,1.0
ZNF142,1.0
SPRR2C,1.0
SPRYD3,1.0
SLC4A7,1.0
RPL3L,1.0
HSD17B12,1.0
LPPR3,1.0
KRT80,1.0
KRT84,1.0
KRT28,1.0
RIOK1,1.0
ARNTL2,1.0
KRT73,1.0
DSCR3,1.0
FAM49B,1.0
METTL2A,1.0
