Protein,Degree
UBC,8655
SUMO2,1150
SIRT7,657
SUMO1,541
HDAC1,447
MYC,445
TP53,443
HDAC5,321
SNCA,318
HDAC2,307
EP300,304
ARRB2,294
YWHAQ,276
GRB2,267
tat,258
ESR1,256
CREBBP,239
NEDD4,231
RAD21,226
HDAC3,217
SIRT1,212
ICT1,206
ARRB1,204
BRCA1,203
EGFR,200
HDGF,196
SP1,195
H2AFX,189
YWHAG,187
TERF2,187
SRC,186
VHL,184
IKBKG,182
UBE2I,180
SH3KBP1,178
MDM2,174
HDAC4,173
HSP90AA1,173
AR,171
GSK3B,168
CALM1,167
CTNNB1,167
MEPCE,165
TRAF2,165
RAD23A,165
HSPA4,164
KAT5,164
YWHAZ,164
MAPK6,160
SMAD3,159
SMN1,158
HNRNPA1,157
TK1,155
SMARCA4,155
CDKN1A,154
SIN3A,153
PCNA,153
EBNA-LP,151
XRCC6,151
POLR2A,150
UCHL5,148
HIST1H3A,147
RELA,147
TGFBR1,146
CSNK2B,141
EWSR1,141
HTT,141
TRAF6,138
JUN,135
SRRM2,134
RB1,134
HDAC6,132
RUVBL2,130
CCDC85B,129
PIN1,128
PSMA3,128
TERF1,126
CDK9,126
YWHAB,125
EEF1A1,125
NCOR1,124
SMAD2,124
PARP1,123
COPS6,121
SF3A2,121
SMURF1,119
KAT2B,119
CBL,119
STUB1,119
MAPK1,118
TBP,118
CDC42,118
SMAD4,118
UBE2D1,117
PRKDC,117
SMARCAD1,117
AKT1,117
NR3C1,117
LRIF1,116
TCF3,114
CDK2,114
VIM,113
SFN,113
APC,113
HSPA8,113
UBE2D2,111
PPP1CA,111
DISC1,110
FYN,110
UBE2D3,110
PLK1,110
NEDD4L,109
SETDB1,108
HDAC7,107
TADA2A,107
NEDD8,106
SRRM1,105
HIST1H4A,105
ITSN1,104
COPS5,104
CSNK2A1,103
CHD3,102
DDB1,101
HGS,101
ANXA7,101
MDFI,100
CUL1,100
BTRC,99
MAPK14,99
RUVBL1,97
PPP2CA,97
VCP,97
TRIM28,96
XRCC5,96
CDC5L,96
RAC1,96
SHC1,95
SUMO4,95
RBBP4,95
YWHAE,93
SIRT3,93
RXRA,93
SMARCB1,93
KHDRBS1,93
NCOA3,92
CACNA1A,92
NPM1,91
PIK3R1,91
USP7,90
ABL1,90
TSG101,90
SIRT2,90
PPP2R1A,89
PARK2,89
UNC119,89
NCOR2,88
NFKB1,88
ACTB,88
PML,88
CDK1,88
CUL4A,88
YY1,88
HIST3H3,87
MAPK3,87
BCL6,86
ATM,86
DYNLL1,86
STAT3,86
WDR5,86
PSMD4,85
RARA,85
PTK2,84
ZBTB16,84
SMARCA2,84
NOP56,84
EEF1G,83
Cdk1,83
RAF1,83
PTN,83
TLE1,83
SQSTM1,82
HDAC9,82
Mapk13,82
RHOA,81
VDR,80
Nedd4,80
E2F1,80
BAG6,80
EZH2,80
ITCH,79
MAPK8,78
RNF2,78
KAT2A,78
UBE3A,78
UBE2D4,77
SIRT5,77
MED1,77
CASP10,77
KIAA1377,76
KPNB1,76
DLG4,76
RPA1,76
ITSN2,75
TSC22D1,75
RBX1,75
SMARCC1,75
SKP2,75
MGMT,75
HIF1A,75
HDAC8,74
UBE2N,74
HNRNPK,74
PRMT1,73
KRTAP4-12,73
ATXN7,72
PSMC5,72
CEBPA,72
MME,72
NCOA6,72
CD4,72
RNPS1,72
CDK4,72
TP73,71
PLCG1,71
SNW1,71
RBBP7,71
EMD,71
HHV8GK18_gp81,71
PLSCR1,71
HSPA5,71
PCK1,70
USP11,70
CTBP1,70
RPA2,70
BCL2,69
CREB1,69
CRMP1,69
ATR,69
KDM1A,69
LYN,69
TUBA1A,68
HIST2H2AC,68
EIF2C4,68
NFKBIA,68
RYK,68
PPP2CB,67
PTPN11,67
EHMT2,67
SKP1,67
PPARG,67
Dynll1,67
JAK2,67
UBE2E1,67
SMARCC2,67
CUL3,67
CHD4,67
CDKN2A,67
MED31,66
CDC20,66
WDR48,66
GAPDH,66
FANCA,66
SMAD1,65
MLL,65
UBE2U,65
STAT1,65
DHX9,65
CDC37,65
BCL2L1,65
GNB2L1,65
ACTA1,65
APBB1,65
XIAP,65
CBX5,65
GADD45A,64
CASP8,64
MCM7,64
MAGEA11,64
UBE2W,64
HNRNPU,63
NDRG1,63
AMFR,63
CLTC,63
PRPF40A,63
AI837181,63
PTEN,63
IKBKB,63
PRKCA,62
PRMT5,62
HIST2H2BE,62
FXR2,62
NCOA1,62
PSMD2,62
CEBPB,61
EIF2AK2,61
ESR2,61
TOP1,61
CDK8,61
C14orf1,61
HCFC1,61
BMPR1B,61
SMURF2,61
CDH1,61
YWHAH,60
KDM5B,60
TAF10,60
CCND1,60
SFPQ,59
CUL2,59
RAN,59
CALCOCO2,59
TNFRSF1A,59
CBX3,59
RAE1,59
DDX5,59
DNMT1,58
THRA,58
TRRAP,58
VAV1,58
SET,58
H3F3A,58
SMC3,58
NUDT21,58
CHUK,57
MED12,57
NCL,57
NONO,57
SMARCE1,57
RUNX1,57
MYOD1,57
CAV1,57
SIAH1,57
KPNA2,57
TAB1,57
XPO1,56
UBE2K,56
PABPC1,56
PRKCZ,56
SMC1A,56
IMMT,56
CCNB1,56
SYK,56
MAP3K5,55
Ybx1,55
MAP3K7,55
TCEB1,55
MLH1,55
MAP1LC3B,55
SREK1,54
EIF6,54
NCOA2,54
CENPA,54
SUMO3,54
FOS,54
LUC7L2,54
PSMC3,54
LCK,54
MOB4,54
EZR,54
PTK2B,54
BRD4,53
CDC27,53
SAT1,53
RANBP2,53
IRAK1,53
SOX2,53
POU5F1,53
TCERG1,53
NR4A1,53
HNF4A,53
PTPN6,53
MTOR,53
TRIM27,53
MTA2,52
HSPA1A,52
KAT7,52
SUV39H1,52
HIST2H3C,52
BIRC2,52
E2F4,52
TBK1,52
Prpf8,52
PFDN1,52
KRT15,52
MORF4L1,52
SH3GL2,52
HNRNPH1,52
VAV2,52
POLR2E,51
SREBF2,51
ACVR1,51
MSH2,51
KEAP1,51
HAP1,51
MED10,51
BARD1,51
DAXX,51
BANF1,51
BLM,50
MCM2,50
ARHGDIA,50
EED,50
PPP4C,50
CHAF1A,50
CUL4B,50
POLR2B,50
CRK,50
PDCD6IP,50
CCNE1,50
DNMT3B,50
SRF,50
GTF2B,49
SF3B1,49
BCAR1,49
CDKN1B,49
DDA1,49
KHDRBS2,49
LZTR1,49
BRCA2,49
RCC1,49
PXN,49
MED26,49
ILK,49
MAPK8IP2,49
MED28,49
RGS2,49
UBQLN1,49
MTA1,48
MAGED1,48
FAF1,48
PGR,48
PUF60,48
TRAF3,48
TJP1,48
PSMC2,48
GABARAPL2,48
PMS1,48
PSMD11,48
PPP2R1B,48
TAF9,48
MCM3,48
DAZAP2,48
RBBP5,48
ACTL6A,48
Cebpb,48
MED29,48
EIF3I,47
PRKAA1,47
HSP90AB1,47
MORF4L2,47
FEZ1,47
HRAS,47
CCT5,47
TRIP13,47
CCNA2,47
USP15,47
DNM2,47
ING1,47
NRIP1,47
RBL1,47
RNF185,46
RBM39,46
PCBD1,46
RPAP2,46
LNX1,46
MED19,46
SMAD7,46
SMARCD1,46
AIRE,46
UBE2E3,46
HNRNPC,46
NCK1,46
JAK1,46
TOLLIP,46
Nhp2l1,46
RING1,46
DVL2,46
EIF3F,46
POU2F1,46
TNNT1,45
GIT1,45
HMGB1,45
MED14,45
WAS,45
TAL1,45
ACTG1,45
POLR2C,45
RIPK1,45
PSMA7,45
NR0B2,45
NBN,45
CRKL,45
RBM48,45
FBXW11,44
PIAS1,44
UBR5,44
MCRS1,44
UBE2H,44
Rrp1b,44
FBL,44
FLNA,44
DDX17,44
BABAM1,44
RAD51,44
RASA1,44
APP,44
CLN3,44
MCM6,44
USP20,44
PRKACA,44
MDC1,44
SMARCA5,44
NR1H2,44
RBPMS,44
PDPK1,43
MED9,43
PRKCI,43
CBX1,43
G3BP1,43
CCNA1,43
ERBB2,43
UIMC1,43
POT1,43
FN1,43
PPARGC1A,43
BMI1,43
WBP4,43
MEN1,43
TAF1D,43
ASH2L,43
BMPR2,42
SREBF1,42
PKM2,42
SRSF1,42
CUL5,42
PRKAA2,42
ITGB1,42
SPTAN1,42
EPS15,42
ALK,42
UTP14A,42
MED17,42
SHFM1,42
CARM1,42
CDK7,42
UBE2L3,42
BAZ1B,42
MED21,41
CCNT1,41
PRPF4,41
NOTCH1,41
DLG1,41
HSPB1,41
ZHX1,41
CHEK1,41
THRB,41
TUBB,41
MAX,41
RAD50,41
JUP,41
PSMA1,41
EIF2C3,41
SUZ12,41
DNMT3A,41
STK24,41
PSMC4,41
PIAS2,40
UHRF2,40
PSMD7,40
PSMA6,40
BCL3,40
TAF1,40
TOPORS,40
RBL2,40
PMS2,40
SF3B3,40
FADD,40
C20orf20,40
RCOR1,40
GTF2I,40
YBX1,40
HIST4H4,40
MED24,40
CDC73,40
PAK1,40
INSR,40
LMNA,40
TCP1,40
CASP3,40
TP53BP1,40
PSMC1,40
PPP2R2B,40
AURKB,40
IRS1,40
HSF1,40
GTF2F1,40
MYB,39
EIF3E,39
PHB2,39
MED25,39
GATA1,39
COPS2,39
SIN3B,39
LRP1,39
UBXN7,39
CDT1,39
SLX1B,39
DLG3,39
IGF1R,39
TNFAIP3,39
PRKCD,39
C1QBP,39
HIST1H1A,39
KAT8,39
PSMA2,39
EFTUD2,38
BUB1B,38
CCT2,38
TCEB2,38
TRIP6,38
ARIH2,38
CTDP1,38
SNRNP200,38
UBE2E2,38
MED7,38
SPRY2,38
PSMD6,38
TRAF1,38
CSNK2A2,38
MARK4,38
RPAP3,38
Csnk1e,38
DMAP1,38
MED23,38
MCC,38
CCT3,38
MLLT4,38
MSH6,38
GPN1,38
FKBP8,38
GDF9,38
RUNX1T1,38
TAF6,38
USP4,37
MBD3,37
INTS6,37
TTR,37
RBBP6,37
UBA5,37
CHEK2,37
H2AFZ,37
STX1A,37
TP63,37
NFKB2,37
SSRP1,37
SLC2A4,37
ASCC2,37
