Protein1,Protein2,ShortestPath
LAS1L,FKBP4,2
LAS1L,RBM6,2
LAS1L,UPF1,2
LAS1L,SLC25A5,2
LAS1L,DHX33,2
LAS1L,ELAC2,2
LAS1L,CCDC124,2
LAS1L,RPS20,2
LAS1L,CSDE1,2
LAS1L,AKAP8L,2
LAS1L,UTP18,2
LAS1L,PTBP1,2
LAS1L,DCN,3
LAS1L,MATR3,2
LAS1L,SAMD4A,3
LAS1L,AQR,2
LAS1L,STRAP,2
LAS1L,SEC63,2
LAS1L,BCLAF1,2
LAS1L,TFB1M,2
LAS1L,GRN,3
LAS1L,ZCCHC8,2
LAS1L,NSUN2,2
LAS1L,SKIV2L2,2
LAS1L,STAU2,2
LAS1L,CTNNA1,2
LAS1L,YTHDC2,2
LAS1L,POLR2B,2
LAS1L,TPR,2
LAS1L,MAP4,2
LAS1L,NOP16,2
LAS1L,FAM120A,2
LAS1L,PTCD2,2
LAS1L,RRP12,2
LAS1L,MRTO4,2
LAS1L,THRAP3,2
LAS1L,NOP58,2
LAS1L,USP36,2
LAS1L,MLL3,2
LAS1L,PUM2,2
LAS1L,MRPL43,2
LAS1L,ZFR,2
LAS1L,RC3H2,3
LAS1L,ZC3H11A,2
LAS1L,PARP12,2
LAS1L,ALDH18A1,2
LAS1L,CSDA,2
LAS1L,CCAR1,2
FKBP4,RBM6,2
FKBP4,UPF1,2
FKBP4,SLC25A5,2
FKBP4,DHX33,2
FKBP4,ELAC2,2
FKBP4,CCDC124,2
FKBP4,RPS20,2
FKBP4,CSDE1,2
FKBP4,AKAP8L,2
FKBP4,UTP18,2
FKBP4,PTBP1,2
FKBP4,DCN,2
FKBP4,MATR3,2
FKBP4,SAMD4A,3
FKBP4,AQR,2
FKBP4,STRAP,2
FKBP4,SEC63,2
FKBP4,BCLAF1,2
FKBP4,TFB1M,2
FKBP4,GRN,3
FKBP4,ZCCHC8,2
FKBP4,NSUN2,2
FKBP4,SKIV2L2,2
FKBP4,STAU2,2
FKBP4,CTNNA1,2
FKBP4,YTHDC2,2
FKBP4,POLR2B,2
FKBP4,TPR,2
FKBP4,MAP4,2
FKBP4,NOP16,2
FKBP4,FAM120A,2
FKBP4,PTCD2,2
FKBP4,RRP12,2
FKBP4,MRTO4,2
FKBP4,THRAP3,2
FKBP4,NOP58,2
FKBP4,USP36,2
FKBP4,MLL3,2
FKBP4,PUM2,2
FKBP4,MRPL43,2
FKBP4,ZFR,2
FKBP4,RC3H2,3
FKBP4,ZC3H11A,2
FKBP4,PARP12,2
FKBP4,ALDH18A1,2
FKBP4,CSDA,2
FKBP4,CCAR1,2
RBM6,UPF1,2
RBM6,SLC25A5,2
RBM6,DHX33,2
RBM6,ELAC2,2
RBM6,CCDC124,2
RBM6,RPS20,2
RBM6,CSDE1,2
RBM6,AKAP8L,2
RBM6,UTP18,2
RBM6,PTBP1,2
RBM6,DCN,3
RBM6,MATR3,2
RBM6,SAMD4A,3
RBM6,AQR,2
RBM6,STRAP,2
RBM6,SEC63,2
RBM6,BCLAF1,2
RBM6,TFB1M,2
RBM6,GRN,3
RBM6,ZCCHC8,2
RBM6,NSUN2,2
RBM6,SKIV2L2,2
RBM6,STAU2,2
RBM6,CTNNA1,2
RBM6,YTHDC2,2
RBM6,POLR2B,2
RBM6,TPR,2
RBM6,MAP4,2
RBM6,NOP16,2
RBM6,FAM120A,2
RBM6,PTCD2,2
RBM6,RRP12,2
RBM6,MRTO4,2
RBM6,THRAP3,2
RBM6,NOP58,2
RBM6,USP36,2
RBM6,MLL3,2
RBM6,PUM2,2
RBM6,MRPL43,2
RBM6,ZFR,2
RBM6,RC3H2,3
RBM6,ZC3H11A,2
RBM6,PARP12,2
RBM6,ALDH18A1,2
RBM6,CSDA,2
RBM6,CCAR1,2
UPF1,SLC25A5,2
UPF1,DHX33,2
UPF1,ELAC2,2
UPF1,CCDC124,2
UPF1,RPS20,2
UPF1,CSDE1,2
UPF1,AKAP8L,2
UPF1,UTP18,2
UPF1,PTBP1,2
UPF1,DCN,3
UPF1,MATR3,2
UPF1,SAMD4A,3
UPF1,AQR,2
UPF1,STRAP,2
UPF1,SEC63,2
UPF1,BCLAF1,2
UPF1,TFB1M,2
UPF1,GRN,3
UPF1,ZCCHC8,2
UPF1,NSUN2,2
UPF1,SKIV2L2,2
UPF1,STAU2,2
UPF1,CTNNA1,2
UPF1,YTHDC2,2
UPF1,POLR2B,2
UPF1,TPR,2
UPF1,MAP4,2
UPF1,NOP16,2
UPF1,FAM120A,2
UPF1,PTCD2,2
UPF1,RRP12,2
UPF1,MRTO4,2
UPF1,THRAP3,2
UPF1,NOP58,2
UPF1,USP36,2
UPF1,MLL3,2
UPF1,PUM2,2
UPF1,MRPL43,2
UPF1,ZFR,2
UPF1,RC3H2,3
UPF1,ZC3H11A,2
UPF1,PARP12,2
UPF1,ALDH18A1,2
UPF1,CSDA,2
UPF1,CCAR1,2
SLC25A5,DHX33,2
SLC25A5,ELAC2,2
SLC25A5,CCDC124,2
SLC25A5,RPS20,2
SLC25A5,CSDE1,2
SLC25A5,AKAP8L,2
SLC25A5,UTP18,2
SLC25A5,PTBP1,2
SLC25A5,DCN,3
SLC25A5,MATR3,2
SLC25A5,SAMD4A,3
SLC25A5,AQR,2
SLC25A5,STRAP,2
SLC25A5,SEC63,2
SLC25A5,BCLAF1,2
SLC25A5,TFB1M,2
SLC25A5,GRN,3
SLC25A5,ZCCHC8,2
SLC25A5,NSUN2,2
SLC25A5,SKIV2L2,2
SLC25A5,STAU2,2
SLC25A5,CTNNA1,2
SLC25A5,YTHDC2,2
SLC25A5,POLR2B,2
SLC25A5,TPR,2
SLC25A5,MAP4,2
SLC25A5,NOP16,2
SLC25A5,FAM120A,2
SLC25A5,PTCD2,2
SLC25A5,RRP12,2
SLC25A5,MRTO4,2
SLC25A5,THRAP3,2
SLC25A5,NOP58,2
SLC25A5,USP36,2
SLC25A5,MLL3,2
SLC25A5,PUM2,2
SLC25A5,MRPL43,2
SLC25A5,ZFR,2
SLC25A5,RC3H2,3
SLC25A5,ZC3H11A,2
SLC25A5,PARP12,2
SLC25A5,ALDH18A1,2
SLC25A5,CSDA,2
SLC25A5,CCAR1,2
DHX33,ELAC2,2
DHX33,CCDC124,2
DHX33,RPS20,2
DHX33,CSDE1,2
DHX33,AKAP8L,2
DHX33,UTP18,2
DHX33,PTBP1,2
DHX33,DCN,3
DHX33,MATR3,2
DHX33,SAMD4A,3
DHX33,AQR,2
DHX33,STRAP,2
DHX33,SEC63,2
DHX33,BCLAF1,2
DHX33,TFB1M,2
DHX33,GRN,3
DHX33,ZCCHC8,2
DHX33,NSUN2,2
DHX33,SKIV2L2,2
DHX33,STAU2,2
DHX33,CTNNA1,2
DHX33,YTHDC2,2
DHX33,POLR2B,2
DHX33,TPR,2
DHX33,MAP4,2
DHX33,NOP16,2
DHX33,FAM120A,2
DHX33,PTCD2,2
DHX33,RRP12,2
DHX33,MRTO4,2
DHX33,THRAP3,2
DHX33,NOP58,2
DHX33,USP36,1
DHX33,MLL3,2
DHX33,PUM2,2
DHX33,MRPL43,2
DHX33,ZFR,2
DHX33,RC3H2,3
DHX33,ZC3H11A,2
DHX33,PARP12,2
DHX33,ALDH18A1,2
DHX33,CSDA,2
DHX33,CCAR1,2
ELAC2,CCDC124,2
ELAC2,RPS20,2
ELAC2,CSDE1,2
ELAC2,AKAP8L,2
ELAC2,UTP18,2
ELAC2,PTBP1,2
ELAC2,DCN,3
ELAC2,MATR3,2
ELAC2,SAMD4A,3
ELAC2,AQR,2
ELAC2,STRAP,2
ELAC2,SEC63,2
ELAC2,BCLAF1,2
ELAC2,TFB1M,2
ELAC2,GRN,3
ELAC2,ZCCHC8,2
ELAC2,NSUN2,2
ELAC2,SKIV2L2,2
ELAC2,STAU2,2
ELAC2,CTNNA1,2
ELAC2,YTHDC2,2
ELAC2,POLR2B,2
ELAC2,TPR,2
ELAC2,MAP4,2
ELAC2,NOP16,2
ELAC2,FAM120A,2
ELAC2,PTCD2,2
ELAC2,RRP12,2
ELAC2,MRTO4,2
ELAC2,THRAP3,2
ELAC2,NOP58,2
ELAC2,USP36,2
ELAC2,MLL3,2
ELAC2,PUM2,2
ELAC2,MRPL43,2
ELAC2,ZFR,2
ELAC2,RC3H2,3
ELAC2,ZC3H11A,2
ELAC2,PARP12,2
ELAC2,ALDH18A1,2
ELAC2,CSDA,2
ELAC2,CCAR1,2
CCDC124,RPS20,2
CCDC124,CSDE1,2
CCDC124,AKAP8L,2
CCDC124,UTP18,2
CCDC124,PTBP1,2
CCDC124,DCN,3
CCDC124,MATR3,2
CCDC124,SAMD4A,3
CCDC124,AQR,2
CCDC124,STRAP,2
CCDC124,SEC63,2
CCDC124,BCLAF1,2
CCDC124,TFB1M,2
CCDC124,GRN,3
CCDC124,ZCCHC8,2
CCDC124,NSUN2,2
CCDC124,SKIV2L2,2
CCDC124,STAU2,2
CCDC124,CTNNA1,2
CCDC124,YTHDC2,2
CCDC124,POLR2B,2
CCDC124,TPR,2
CCDC124,MAP4,2
CCDC124,NOP16,2
CCDC124,FAM120A,2
CCDC124,PTCD2,2
CCDC124,RRP12,2
CCDC124,MRTO4,2
CCDC124,THRAP3,2
CCDC124,NOP58,2
CCDC124,USP36,2
CCDC124,MLL3,2
CCDC124,PUM2,2
CCDC124,MRPL43,2
CCDC124,ZFR,2
CCDC124,RC3H2,3
CCDC124,ZC3H11A,2
CCDC124,PARP12,2
CCDC124,ALDH18A1,2
CCDC124,CSDA,2
CCDC124,CCAR1,2
RPS20,CSDE1,2
RPS20,AKAP8L,2
RPS20,UTP18,2
RPS20,PTBP1,2
RPS20,DCN,3
RPS20,MATR3,2
RPS20,SAMD4A,3
RPS20,AQR,2
RPS20,STRAP,2
RPS20,SEC63,2
RPS20,BCLAF1,2
RPS20,TFB1M,2
RPS20,GRN,3
RPS20,ZCCHC8,2
RPS20,NSUN2,2
RPS20,SKIV2L2,2
RPS20,STAU2,2
RPS20,CTNNA1,2
RPS20,YTHDC2,2
RPS20,POLR2B,2
RPS20,TPR,2
RPS20,MAP4,2
RPS20,NOP16,2
RPS20,FAM120A,2
RPS20,PTCD2,2
RPS20,RRP12,2
RPS20,MRTO4,2
RPS20,THRAP3,2
RPS20,NOP58,2
RPS20,USP36,2
RPS20,MLL3,2
RPS20,PUM2,2
RPS20,MRPL43,2
